Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
017_F.png,0.989,0.9856,0.9873,0.9749,0.9992,0.6222,1981,22,29,63504
017_F_BC1.png,0.987,0.9841,0.9856,0.9715,0.9991,0.7509,1978,26,32,63500
017_F_BC2.png,0.987,0.9826,0.9848,0.97,0.9991,0.3805,1975,26,35,63500
017_F_BC3.png,0.987,0.9423,0.9641,0.9307,0.9978,0.3823,1894,25,116,63501
017_F_CA1.png,0.989,0.9836,0.9863,0.9729,0.9992,0.3787,1977,22,33,63504
017_F_CA2.png,0.9885,0.9796,0.984,0.9685,0.999,0.3752,1969,23,41,63503
017_F_CA3.png,0.9863,0.9706,0.9784,0.9578,0.9987,0.3731,1951,27,59,63499
017_F_CR1.png,0.989,0.9851,0.987,0.9744,0.9992,0.7615,1980,22,30,63504
017_F_CR2.png,0.9885,0.9856,0.987,0.9744,0.9992,0.3712,1981,23,29,63503
017_F_CR3.png,0.989,0.9856,0.9873,0.9749,0.9992,0.3791,1981,22,29,63504
017_F_IB1.png,0.9885,0.9866,0.9875,0.9754,0.9992,0.4306,1983,23,27,63503
017_F_IB2.png,0.9875,0.9836,0.9855,0.9715,0.9991,0.3619,1977,25,33,63501
017_F_IB3.png,0.9843,0.9692,0.9767,0.9544,0.9986,0.4707,1948,31,62,63495
017_F_NA1.png,0.9874,0.9786,0.983,0.9666,0.999,0.2727,1967,25,43,63501
017_F_NA2.png,0.9856,0.9851,0.9853,0.9711,0.9991,0.706,1980,29,30,63497
017_F_NA3.png,0.989,0.9836,0.9863,0.9729,0.9992,0.3691,1977,22,33,63504
017_F_JC1.jpg,0.986,0.9786,0.9823,0.9652,0.9989,0.3854,1967,28,43,63498
017_F_JC2.jpg,0.9865,0.9821,0.9843,0.9691,0.999,0.3741,1974,27,36,63499
017_F_JC3.jpg,0.9865,0.9846,0.9856,0.9715,0.9991,0.2471,1979,27,31,63499
