Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
171_F.png,0.7766,0.9339,0.848,0.7361,0.9581,0.9198,7653,2201,542,55140
171_F_BC1.png,0.7677,0.9348,0.8431,0.7287,0.9565,0.6121,7661,2318,534,55023
171_F_BC2.png,0.7607,0.9374,0.8399,0.724,0.9553,1.4825,7682,2416,513,54925
171_F_BC3.png,0.7477,0.9408,0.8332,0.7142,0.9529,0.7364,7710,2601,485,54740
171_F_CA1.png,0.7851,0.9297,0.8513,0.7411,0.9594,0.3699,7619,2085,576,55256
171_F_CA2.png,0.7893,0.9191,0.8493,0.738,0.9592,0.3782,7532,2011,663,55330
171_F_CA3.png,0.7879,0.8765,0.8298,0.7092,0.955,0.3249,7183,1934,1012,55407
171_F_CR1.png,0.7772,0.9341,0.8485,0.7368,0.9583,0.3624,7655,2194,540,55147
171_F_CR2.png,0.7767,0.9335,0.8479,0.736,0.9581,0.3752,7650,2199,545,55142
171_F_CR3.png,0.7761,0.9317,0.8468,0.7343,0.9578,0.418,7635,2203,560,55138
171_F_IB1.png,0.7548,0.9317,0.834,0.7152,0.9536,0.4251,7635,2480,560,54861
171_F_IB2.png,0.7171,0.9035,0.7996,0.6661,0.9434,0.3626,7404,2921,791,54420
171_F_IB3.png,0.6846,0.7844,0.7311,0.5762,0.9279,0.3928,6428,2961,1767,54380
171_F_NA1.png,0.7553,0.9234,0.8309,0.7108,0.953,0.2671,7567,2451,628,54890
171_F_NA2.png,0.7699,0.9265,0.841,0.7256,0.9562,0.2583,7593,2269,602,55072
171_F_NA3.png,0.7723,0.9281,0.8431,0.7287,0.9568,0.298,7606,2243,589,55098
171_F_JC1.jpg,0.713,0.9389,0.8105,0.6814,0.9451,0.365,7694,3097,501,54244
171_F_JC2.jpg,0.7647,0.9275,0.8383,0.7216,0.9552,0.3613,7601,2339,594,55002
171_F_JC3.jpg,0.7691,0.9341,0.8436,0.7295,0.9567,0.3837,7655,2298,540,55043
