Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
160_F.png,0.9936,0.9215,0.9562,0.9161,0.9898,0.8091,7291,47,621,57577
160_F_BC1.png,0.9939,0.9243,0.9578,0.9191,0.9902,0.3745,7313,45,599,57579
160_F_BC2.png,0.9944,0.9354,0.964,0.9305,0.9916,0.3815,7401,42,511,57582
160_F_BC3.png,0.9928,0.939,0.9651,0.9326,0.9918,0.2322,7429,54,483,57570
160_F_CA1.png,0.9941,0.9178,0.9545,0.9129,0.9894,0.364,7262,43,650,57581
160_F_CA2.png,0.9943,0.9018,0.9458,0.8971,0.9875,0.3727,7135,41,777,57583
160_F_CA3.png,0.9945,0.7491,0.8545,0.746,0.9692,0.3967,5927,33,1985,57591
160_F_CR1.png,0.9937,0.9238,0.9575,0.9184,0.9901,0.7249,7309,46,603,57578
160_F_CR2.png,0.9936,0.9218,0.9563,0.9163,0.9898,0.364,7293,47,619,57577
160_F_CR3.png,0.9935,0.9209,0.9558,0.9153,0.9897,0.3351,7286,48,626,57576
160_F_IB1.png,0.996,0.9395,0.9669,0.9359,0.9922,0.2359,7433,30,479,57594
160_F_IB2.png,0.9969,0.8809,0.9353,0.8785,0.9853,0.365,6970,22,942,57602
160_F_IB3.png,0.9975,0.5142,0.6786,0.5135,0.9412,0.3687,4068,10,3844,57614
160_F_NA1.png,0.992,0.9383,0.9644,0.9313,0.9916,0.421,7424,60,488,57564
160_F_NA2.png,0.9946,0.9263,0.9592,0.9217,0.9905,0.3204,7329,40,583,57584
160_F_NA3.png,0.9944,0.9262,0.9591,0.9214,0.9905,0.3827,7328,41,584,57583
160_F_JC1.jpg,0.9936,0.9247,0.9579,0.9192,0.9902,0.3814,7316,47,596,57577
160_F_JC2.jpg,0.994,0.9253,0.9584,0.9202,0.9903,0.3772,7321,44,591,57580
160_F_JC3.jpg,0.9946,0.9276,0.9599,0.9229,0.9906,0.363,7339,40,573,57584
