Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
160_F.png,0.9936,0.9215,0.9562,0.9161,0.9898,0.2405,7291,47,621,57577
161_F.png,0.4118,0.0228,0.0431,0.022,0.9858,0.2324,21,30,902,64583
162_F.png,0.9774,0.9543,0.9657,0.9337,0.9944,0.3626,5137,119,246,60034
163_F.png,0.8832,0.9935,0.9351,0.8782,0.9961,0.7588,1838,243,12,63443
164_F.png,0.0,0.0,0.0,0.0,0.9762,0.3732,0,0,1557,63979
165_F.png,0.9703,0.9245,0.9469,0.8991,0.9997,0.2667,196,6,16,65318
166_F.png,0.9093,0.9675,0.9375,0.8824,0.9977,0.2773,1133,113,38,64252
167_F.png,0.0,0.0,0.0,0.0,0.901,0.3689,0,0,6485,59051
168_F.png,0.0,0.0,0.0,0.0,0.9765,0.3672,0,0,1537,63999
169_F.png,0.7301,0.4782,0.5779,0.4064,0.9912,0.394,395,146,431,64564
170_F.png,0.5019,0.2409,0.3255,0.1944,0.9917,0.3649,132,131,416,64857
171_F.png,0.7766,0.9339,0.848,0.7361,0.9581,0.2307,7653,2201,542,55140
172_F.png,0.0,0.0,0.0,0.0,0.9788,0.2242,0,0,1388,64148
173_F.png,0.9031,0.9729,0.9367,0.881,0.9984,0.3809,755,81,21,64679
174_F.png,0.9829,0.9729,0.9779,0.9567,0.9954,0.3634,6678,116,186,58556
175_F.png,0.9938,0.9829,0.9883,0.9769,0.9994,0.3889,1777,11,31,63717
176_F.png,0.0,0.0,0.0,0.0,0.9771,0.3775,0,90,1413,64033
177_F.png,0.9634,0.6543,0.7793,0.6384,0.9968,0.2477,369,14,195,64958
178_F.png,0.6056,0.9794,0.7484,0.598,0.9927,0.2218,714,465,15,64342
179_F.png,0.9532,0.6783,0.7926,0.6565,0.9937,0.2448,795,39,377,64325
180_F.png,0.0,0.0,0.0,0.0,0.7515,0.3589,0,0,16288,49248
181_F.png,0.99,0.9053,0.9458,0.8971,0.9875,0.7372,7161,72,749,57554
182_F.png,0.9793,0.558,0.7109,0.5515,0.99,0.3594,803,17,636,64080
