Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
066_F.png,0.8623,0.9353,0.8973,0.8137,0.9967,0.3816,939,150,65,64382
066_F_BC1.png,0.8644,0.9462,0.9035,0.8239,0.9969,0.4564,950,149,54,64383
066_F_BC2.png,0.8651,0.9452,0.9034,0.8238,0.9969,0.4213,949,148,55,64384
066_F_BC3.png,0.839,0.9552,0.8933,0.8072,0.9965,0.3327,959,184,45,64348
066_F_CA1.png,0.8571,0.8904,0.8735,0.7754,0.996,0.2365,894,149,110,64383
066_F_CA2.png,0.8547,0.7908,0.8215,0.6971,0.9947,0.3803,794,135,210,64397
066_F_CA3.png,0.8398,0.6683,0.7443,0.5928,0.993,0.3917,671,128,333,64404
066_F_CR1.png,0.8633,0.9373,0.8988,0.8161,0.9968,0.4017,941,149,63,64383
066_F_CR2.png,0.8639,0.9293,0.8954,0.8106,0.9967,0.7079,933,147,71,64385
066_F_CR3.png,0.8566,0.8865,0.8713,0.7719,0.996,0.7423,890,149,114,64383
066_F_IB1.png,0.8435,0.8267,0.835,0.7168,0.995,0.2305,830,154,174,64378
066_F_IB2.png,0.8184,0.6912,0.7495,0.5993,0.9929,0.3888,694,154,310,64378
066_F_IB3.png,0.8189,0.6574,0.7293,0.5739,0.9925,0.3661,660,146,344,64386
066_F_NA1.png,0.8502,0.7799,0.8135,0.6856,0.9945,0.3652,783,138,221,64394
066_F_NA2.png,0.8426,0.8476,0.8451,0.7317,0.9952,0.3016,851,159,153,64373
066_F_NA3.png,0.8595,0.9502,0.9026,0.8224,0.9969,0.2318,954,156,50,64376
066_F_JC1.jpg,0.8818,0.7948,0.836,0.7183,0.9952,0.4037,798,107,206,64425
066_F_JC2.jpg,0.8465,0.8625,0.8545,0.7459,0.9955,0.7919,866,157,138,64375
066_F_JC3.jpg,0.8564,0.8556,0.856,0.7483,0.9956,0.3778,859,144,145,64388
