ImageID,Original,BrightnessChange,ColorAdjustment,ContrastReduction,ImageBlur,NoiseAddition,JPEGCompression
17,0.9873,0.9782,0.9829,0.9871,0.9832,0.9849,0.9841
114,0.9085,0.883,0.9073,0.9065,0.6824,0.8847,0.9179
171,0.848,0.8387,0.8435,0.8477,0.7882,0.8383,0.8308
160,0.9562,0.9623,0.9183,0.9565,0.8603,0.9609,0.9587
66,0.8973,0.9001,0.8131,0.8885,0.7713,0.8537,0.8488
