Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
183_F.png,1.0,0.5661,0.7229,0.5661,0.9884,22.8473,994,0,762,63780
183_F_BC1.png,1.0,0.4886,0.6565,0.4886,0.9863,14.278,858,0,898,63780
183_F_BC2.png,1.0,0.5194,0.6837,0.5194,0.9871,14.0218,912,0,844,63780
183_F_BC3.png,1.0,0.3964,0.5677,0.3964,0.9838,14.1498,696,0,1060,63780
183_F_CA1.png,1.0,0.4579,0.6281,0.4579,0.9855,14.2565,804,0,952,63780
183_F_CA2.png,0.8838,0.5547,0.6816,0.517,0.9861,14.4125,974,128,782,63652
183_F_CA3.png,0.9742,0.6458,0.7767,0.6349,0.9901,14.0676,1134,30,622,63750
183_F_CR1.png,0.9717,0.5866,0.7315,0.5767,0.9885,14.6585,1030,30,726,63750
183_F_CR2.png,0.9717,0.5866,0.7315,0.5767,0.9885,13.7353,1030,30,726,63750
183_F_CR3.png,0.9714,0.5809,0.727,0.5711,0.9883,14.215,1020,30,736,63750
183_F_IB1.png,1.0,0.4977,0.6646,0.4977,0.9865,14.4668,874,0,882,63780
183_F_IB2.png,0.8399,0.4482,0.5845,0.4129,0.9829,14.2735,787,150,969,63630
183_F_IB3.png,1.0,0.4658,0.6356,0.4658,0.9857,14.6798,818,0,938,63780
183_F_NA1.png,0.0,0.0,0.0,0.0,0.9732,13.9393,0,0,1756,63780
183_F_NA2.png,0.0,0.0,0.0,0.0,0.9732,14.1814,0,0,1756,63780
183_F_NA3.png,0.0,0.0,0.0,0.0,0.9732,14.1178,0,0,1756,63780
183_F_JC1.jpg,0.0,0.0,0.0,0.0,0.9597,14.6587,0,886,1756,62894
183_F_JC2.jpg,0.0,0.0,0.0,0.0,0.9732,14.2865,0,0,1756,63780
183_F_JC3.jpg,1.0,0.508,0.6737,0.508,0.9868,14.1236,892,0,864,63780
