Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
013_F.png,0.9968,0.6753,0.8052,0.6739,0.97,23.7079,4058,13,1951,59514
013_F_BC1.png,0.9991,0.5675,0.7238,0.5672,0.9603,14.4002,3410,3,2599,59524
013_F_BC2.png,0.9929,0.4683,0.6364,0.4667,0.9509,14.4451,2814,20,3195,59507
013_F_BC3.png,0.9977,0.2876,0.4465,0.2874,0.9346,14.2017,1728,4,4281,59523
013_F_CA1.png,0.9985,0.6728,0.8039,0.6722,0.9699,14.2822,4043,6,1966,59521
013_F_CA2.png,0.9942,0.7166,0.8329,0.7136,0.9736,14.0524,4306,25,1703,59502
013_F_CA3.png,0.9909,0.7808,0.8734,0.7753,0.9792,15.3411,4692,43,1317,59484
013_F_CR1.png,0.9791,0.5761,0.7254,0.5691,0.96,14.5671,3462,74,2547,59453
013_F_CR2.png,0.9949,0.688,0.8135,0.6856,0.9711,14.2376,4134,21,1875,59506
013_F_CR3.png,0.9966,0.6845,0.8116,0.6829,0.9709,14.2608,4113,14,1896,59513
013_F_IB1.png,0.9945,0.7472,0.8533,0.7441,0.9764,14.5442,4490,25,1519,59502
013_F_IB2.png,0.97,0.7793,0.8643,0.761,0.9776,13.8892,4683,145,1326,59382
013_F_IB3.png,0.9588,0.8051,0.8753,0.7782,0.979,15.2261,4838,208,1171,59319
013_F_NA1.png,0.0,0.0,0.0,0.0,0.9083,14.357,0,0,6009,59527
013_F_NA2.png,0.0,0.0,0.0,0.0,0.9083,14.8729,0,0,6009,59527
013_F_NA3.png,0.9994,0.5359,0.6976,0.5357,0.9574,14.8598,3220,2,2789,59525
013_F_JC1.jpg,0.0,0.0,0.0,0.0,0.9083,14.3904,0,0,6009,59527
013_F_JC2.jpg,0.9987,0.255,0.4062,0.2549,0.9317,14.2971,1532,2,4477,59525
013_F_JC3.jpg,0.0,0.0,0.0,0.0,0.9083,14.211,0,0,6009,59527
