Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
120_F.png,0.9996,0.5625,0.7199,0.5623,0.9393,18.3642,5110,2,3975,56449
120_F_BC1.png,1.0,0.5677,0.7243,0.5677,0.9401,14.1644,5158,0,3927,56451
120_F_BC2.png,1.0,0.6035,0.7527,0.6035,0.945,14.4791,5483,0,3602,56451
120_F_BC3.png,0.9997,0.6488,0.7869,0.6486,0.9513,14.5281,5894,2,3191,56449
120_F_CA1.png,1.0,0.5432,0.704,0.5432,0.9367,14.552,4935,0,4150,56451
120_F_CA2.png,1.0,0.5486,0.7085,0.5486,0.9374,14.6234,4984,0,4101,56451
120_F_CA3.png,1.0,0.567,0.7237,0.567,0.94,14.7353,5151,0,3934,56451
120_F_CR1.png,0.9996,0.5432,0.7039,0.5431,0.9366,13.9903,4935,2,4150,56449
120_F_CR2.png,0.9996,0.5693,0.7254,0.5692,0.9403,13.909,5172,2,3913,56449
120_F_CR3.png,0.9996,0.5444,0.7049,0.5443,0.9368,14.1631,4946,2,4139,56449
120_F_IB1.png,0.9996,0.585,0.7381,0.5849,0.9424,14.2262,5315,2,3770,56449
120_F_IB2.png,1.0,0.5876,0.7402,0.5876,0.9428,14.3168,5338,0,3747,56451
120_F_IB3.png,1.0,0.6089,0.7569,0.6089,0.9458,14.2117,5532,0,3553,56451
120_F_NA1.png,0.0,0.0,0.0,0.0,0.8614,14.3607,0,0,9085,56451
120_F_NA2.png,0.0,0.0,0.0,0.0,0.8614,14.6212,0,0,9085,56451
120_F_NA3.png,1.0,0.2389,0.3856,0.2389,0.8945,14.3024,2170,0,6915,56451
120_F_JC1.jpg,0.0,0.0,0.0,0.0,0.8614,14.4484,0,0,9085,56451
120_F_JC2.jpg,0.0,0.0,0.0,0.0,0.8614,13.9691,0,0,9085,56451
120_F_JC3.jpg,1.0,0.094,0.1718,0.094,0.8744,14.4251,854,0,8231,56451
