Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
051_F.png,0.9926,0.7355,0.8449,0.7315,0.97,20.1049,5364,40,1929,58203
051_F_BC1.png,0.9928,0.6827,0.8091,0.6794,0.9641,14.0646,4979,36,2314,58207
051_F_BC2.png,0.9964,0.6863,0.8128,0.6846,0.9648,13.8375,5005,18,2288,58225
051_F_BC3.png,0.9902,0.6121,0.7565,0.6084,0.9562,14.6225,4464,44,2829,58199
051_F_CA1.png,0.9655,0.7295,0.8311,0.7109,0.967,14.7229,5320,190,1973,58053
051_F_CA2.png,0.9668,0.7861,0.8671,0.7654,0.9732,14.5361,5733,197,1560,58046
051_F_CA3.png,0.9842,0.7775,0.8687,0.7679,0.9738,14.8784,5670,91,1623,58152
051_F_CR1.png,0.9845,0.721,0.8324,0.7129,0.9677,14.386,5258,83,2035,58160
051_F_CR2.png,0.9836,0.6816,0.8052,0.6739,0.9633,14.3993,4971,83,2322,58160
051_F_CR3.png,0.9785,0.699,0.8155,0.6885,0.9648,14.6996,5098,112,2195,58131
051_F_IB1.png,0.9804,0.7552,0.8532,0.744,0.9711,14.278,5508,110,1785,58133
051_F_IB2.png,0.9812,0.7879,0.874,0.7762,0.9747,14.59,5746,110,1547,58133
051_F_IB3.png,0.9786,0.8149,0.8893,0.8006,0.9774,17.5978,5943,130,1350,58113
051_F_NA1.png,0.0,0.0,0.0,0.0,0.8887,14.2332,0,0,7293,58243
051_F_NA2.png,0.0,0.0,0.0,0.0,0.8887,14.381,0,0,7293,58243
051_F_NA3.png,0.9982,0.6185,0.7638,0.6179,0.9574,13.9162,4511,8,2782,58235
051_F_JC1.jpg,0.0,0.0,0.0,0.0,0.8887,13.9935,0,0,7293,58243
051_F_JC2.jpg,0.984,0.2275,0.3695,0.2266,0.9136,14.3181,1659,27,5634,58216
051_F_JC3.jpg,0.9836,0.5028,0.6655,0.4986,0.9437,14.0979,3667,61,3626,58182
